AreaID,AnalysisAreaName,Acres,job_spaces_orig,job_spaces_new,job_spaces_change,resunits_orig,resunits_new,resunits_change,resunits_undevelopable,resunits_remain,resunits_redeveloped_orig,resunits_redeveloped_new,resunits_developed,density_hhemp_orig,density_hhemp_new,density_hhemp_change
0.0,,30383.735731942783,2400.0,4700.0,2300.0,6300.0,16700.0,10400.0,1848.5993128757632,3948.960497545567,484.42833896665536,1789.0,9155.0,0.0,1.0,1.0
1.0,Alpine,3803.761302077029,600.0,600.0,0.0,2600.0,4400.0,1800.0,6.636913789505549,2582.593300751004,23.8008874248993,81.0,1711.0,1.0,1.0,0.0
3.0,American Fork,4265.525466587943,1100.0,1800.0,700.0,8100.0,15800.0,7700.0,126.1413143448199,7690.074638020053,319.39072757660847,1015.0,6980.0,2.0,4.0,2.0
4.0,Bluffdale,3522.386353919549,100.0,600.0,500.0,2300.0,4200.0,1900.0,7.988245990526239,2256.3867375400546,22.68917374871416,148.0,1803.0,1.0,1.0,0.0
5.0,Bountiful,6180.744793590992,6900.0,8800.0,1900.0,15500.0,18600.0,3100.0,211.98762483918773,14907.61610137938,370.0966753163599,1186.0,2339.0,4.0,4.0,0.0
7.0,Cedar Fort,453.13373943322546,0.0,0.0,0.0,100.0,500.0,400.0,0.0,104.15745874900611,4.174141008117435,45.0,356.0,0.0,1.0,1.0
8.0,Cedar Hills,1035.786928867167,100.0,100.0,0.0,2500.0,2900.0,400.0,0.9937650209078228,2532.576083571729,4.9526201024877885,6.0,362.0,3.0,3.0,0.0
9.0,Centerville,1327.6274472671557,400.0,5300.0,4900.0,4800.0,7400.0,2600.0,61.12009166199211,4617.61611773823,100.35721579475727,201.0,2514.0,4.0,10.0,6.0
10.0,Clearfield,2128.9280837137876,4300.0,52500.0,48200.0,9000.0,21000.0,12000.0,134.23767898079822,8039.837574076668,791.4401975019844,5633.0,7180.0,6.0,35.0,29.0
11.0,Clinton,2654.9355488698197,300.0,300.0,0.0,5700.0,7400.0,1700.0,1.9963302674825671,5632.72677018133,44.62524273962592,256.0,1562.0,2.0,3.0,1.0
12.0,Copperton,87.37327316270986,0.0,100.0,100.0,300.0,400.0,100.0,2.8947775865584386,261.61770446528993,30.975948275058535,67.0,29.0,4.0,5.0,1.0
13.0,Cottonwood Heights,3592.3339787863606,8900.0,38000.0,29100.0,12700.0,20600.0,7900.0,159.264627594707,11871.331480200111,652.9820663073548,5588.0,2974.0,6.0,16.0,10.0
14.0,Draper,7967.671147460942,7000.0,53000.0,46000.0,13500.0,29200.0,15700.0,189.81594981647171,13193.477201503893,168.6561999301569,1363.0,14467.0,3.0,10.0,7.0
15.0,Eagle Mountain,16988.0398695851,0.0,17000.0,17000.0,6900.0,57700.0,50800.0,99.42460028214532,6829.489261239583,0.0,0.0,50765.0,0.0,4.0,4.0
16.0,Elk Ridge,946.9288784566976,100.0,100.0,0.0,800.0,1800.0,1000.0,22.517473105171057,779.3591953893632,0.002957517214180686,0.0,953.0,1.0,2.0,1.0
18.0,Fairfield,1580.7735094138084,0.0,0.0,0.0,0.0,1800.0,1800.0,0.0,31.679968204241238,0.4298320090322392,1.0,1739.0,0.0,1.0,1.0
19.0,Farmington,3303.4271691552935,2400.0,45000.0,42600.0,5200.0,16900.0,11700.0,34.951405855237596,5053.230016849321,87.20811426872996,502.0,11296.0,2.0,19.0,17.0
20.0,Farr West,2324.314402898364,300.0,300.0,0.0,2200.0,4400.0,2200.0,9.6488113276531,2157.5654778360554,30.079341385021976,237.0,2019.0,1.0,2.0,1.0
21.0,Fruit Heights,890.7253121830562,600.0,600.0,0.0,1800.0,2300.0,500.0,14.323705863624319,1782.6736230059819,11.426175613419232,103.0,374.0,3.0,3.0,0.0
22.0,Genola,7925.553719668903,100.0,100.0,0.0,400.0,5300.0,4900.0,3.903763258846364,339.59175057344305,29.11163876716544,427.0,4514.0,0.0,1.0,1.0
23.0,Goshen,360.1942776661344,0.0,0.0,0.0,300.0,500.0,200.0,2.7733906987328747,297.6130166952996,4.453541416990223,19.0,190.0,1.0,1.0,0.0
24.0,Harrisville,942.2546848737545,0.0,0.0,0.0,2000.0,2600.0,600.0,33.352839091408086,1978.6598848268823,15.594341502008273,61.0,486.0,2.0,3.0,1.0
25.0,Herriman,5773.120688327413,1000.0,15300.0,14300.0,7300.0,22900.0,15600.0,119.14181529192112,7159.801242123712,35.6863792638969,146.0,15468.0,1.0,7.0,6.0
26.0,Highland,3614.88805314498,500.0,2000.0,1500.0,4000.0,8100.0,4100.0,57.231267283974574,3932.8082497815167,22.441449197141427,166.0,3990.0,1.0,3.0,2.0
27.0,Holladay,3817.038184296179,4000.0,6000.0,2000.0,12100.0,15400.0,3300.0,68.06688452417723,10547.442220172088,1449.2843276198807,4135.0,621.0,4.0,6.0,2.0
28.0,Hooper,4868.845281385417,100.0,100.0,0.0,2600.0,6800.0,4200.0,88.2699951859394,2465.8816571131656,26.55751846655956,289.0,3919.0,1.0,1.0,0.0
